SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
02/12/2018 00:00:00 000	02/12/2018 00:00:00	000	0			66.91084072060877																	25.763165907215	02/12/2018 00:00:00						
02/12/2018 00:00:01 001	02/12/2018 00:00:01	001	0			67.02710496997383																	18.68735673963221	02/12/2018 00:00:01						
02/12/2018 00:00:02 000	02/12/2018 00:00:02	000	1			67.02710496997383																	18.68735673963221	02/12/2018 00:00:01						
02/12/2018 00:00:03 000	02/12/2018 00:00:03	000	0			67.0721328559373																	20.97732155512079	02/12/2018 00:00:03						
02/12/2018 00:00:04 000	02/12/2018 00:00:04	000	0			67.09666743426897																	23.156462878990435	02/12/2018 00:00:04						
02/12/2018 00:00:05 000	02/12/2018 00:00:05	000	0			67.069454617367																	13.325765886640617	02/12/2018 00:00:05						
02/12/2018 00:00:06 001	02/12/2018 00:00:06	001	0			67.05125694279545																	16.145343642993126	02/12/2018 00:00:06						
02/12/2018 00:00:07 000	02/12/2018 00:00:07	000	0			67.07593499819339																	22.171695772600387	02/12/2018 00:00:06						
02/12/2018 00:00:08 000	02/12/2018 00:00:08	000	0			67.08502187905697																	16.595741358877458	02/12/2018 00:00:08						
02/12/2018 00:00:09 001	02/12/2018 00:00:09	001	0			67.08502187905697																	16.595741358877458	02/12/2018 00:00:09						
02/12/2018 00:00:10 000	02/12/2018 00:00:10	000	0			67.09965653981621																	21.541960355295252	02/12/2018 00:00:09						
02/12/2018 00:00:11 000	02/12/2018 00:00:11	000	0			67.0962130902258																	13.89137979454038	02/12/2018 00:00:10						
02/12/2018 00:00:12 000	02/12/2018 00:00:12	000	0			67.09573483333824																	20.07373202599416	02/12/2018 00:00:11						
02/12/2018 00:00:13 000	02/12/2018 00:00:13	000	0			67.10066087928007																	13.996216884352775	02/12/2018 00:00:13						
02/12/2018 00:00:14 001	02/12/2018 00:00:14	001	0			67.10066087928007																	13.996216884352775	02/12/2018 00:00:14						
02/12/2018 00:00:15 000	02/12/2018 00:00:15	000	0			67.11515206297304																	18.17573389131639	02/12/2018 00:00:14						
02/12/2018 00:00:16 000	02/12/2018 00:00:16	000	0			67.11256947578023																	18.07695547023931	02/12/2018 00:00:15						
02/12/2018 00:00:17 000	02/12/2018 00:00:17	000	0			67.10147391598892																	18.555293937268925	02/12/2018 00:00:17						
02/12/2018 00:00:18 001	02/12/2018 00:00:18	001	0			67.09764786088846																	13.061336029677372	02/12/2018 00:00:18						
02/12/2018 00:00:19 000	02/12/2018 00:00:19	000	1			67.09764786088846																	13.061336029677372	02/12/2018 00:00:18						
02/12/2018 00:00:20 000	02/12/2018 00:00:20	000	0			67.12914107693408																	15.909859830709083	02/12/2018 00:00:20						
02/12/2018 00:00:21 001	02/12/2018 00:00:21	001	0			67.17146681148284																	18.636827448332316	02/12/2018 00:00:21						
02/12/2018 00:00:22 000	02/12/2018 00:00:22	000	1			67.17146681148284																	18.636827448332316	02/12/2018 00:00:21						
02/12/2018 00:00:23 000	02/12/2018 00:00:23	000	0			67.14841482950261																	22.94502623034723	02/12/2018 00:00:22						
02/12/2018 00:00:24 000	02/12/2018 00:00:24	000	0			67.16599077012032																	13.34041647342491	02/12/2018 00:00:24						
02/12/2018 00:00:25 000	02/12/2018 00:00:25	000	0			67.16599077012032																	13.34041647342491	02/12/2018 00:00:25						
02/12/2018 00:00:26 001	02/12/2018 00:00:26	001	0			67.13150844852748																	14.15699072384019	02/12/2018 00:00:26						
02/12/2018 00:00:27 000	02/12/2018 00:00:27	000	1			67.13150844852748																	14.15699072384019	02/12/2018 00:00:26						
02/12/2018 00:00:28 000	02/12/2018 00:00:28	000	0			67.11644335656945																	18.547036212745226	02/12/2018 00:00:28						
02/12/2018 00:00:29 000	02/12/2018 00:00:29	000	0			67.1027891224297																	22.674228241933747	02/12/2018 00:00:29						
02/12/2018 00:00:30 000	02/12/2018 00:00:30	000	0			67.1027891224297																	22.674228241933747	02/12/2018 00:00:30						
02/12/2018 00:00:31 000	02/12/2018 00:00:31	000	0			67.11417163635355																	18.927459076850017	02/12/2018 00:00:31						
02/12/2018 00:00:32 001	02/12/2018 00:00:32	001	0			67.10295651234034																	13.53917992838194	02/12/2018 00:00:32						
02/12/2018 00:00:33 000	02/12/2018 00:00:33	000	0			67.12328243006151																	14.361602863986334	02/12/2018 00:00:33						
02/12/2018 00:00:34 000	02/12/2018 00:00:34	000	0			67.1161803152813																	15.945720461135481	02/12/2018 00:00:34						
02/12/2018 00:00:35 000	02/12/2018 00:00:35	000	0			67.12421503099225																	15.10593579653543	02/12/2018 00:00:35						
02/12/2018 00:00:36 000	02/12/2018 00:00:36	000	0			67.1311736687062																	12.169349551191488	02/12/2018 00:00:36						
02/12/2018 00:00:37 000	02/12/2018 00:00:37	000	0			67.14332139365013																	12.197304221713178	02/12/2018 00:00:37						
02/12/2018 00:00:38 001	02/12/2018 00:00:38	001	0			67.13392364580965																	11.465058655542181	02/12/2018 00:00:38						
02/12/2018 00:00:39 000	02/12/2018 00:00:39	000	0			67.15539738006095																	12.399784313850937	02/12/2018 00:00:39						
02/12/2018 00:00:40 000	02/12/2018 00:00:40	000	0			67.14882134785704																	30.675700167539222	02/12/2018 00:00:40						
02/12/2018 00:00:41 000	02/12/2018 00:00:41	000	0			67.17902327030626																	11.647025054939597	02/12/2018 00:00:41						
02/12/2018 00:00:42 001	02/12/2018 00:00:42	001	0			67.187488417216																	20.87285400942229	02/12/2018 00:00:42						
02/12/2018 00:00:43 000	02/12/2018 00:00:43	000	1			67.187488417216																	20.87285400942229	02/12/2018 00:00:42						
02/12/2018 00:00:44 000	02/12/2018 00:00:44	000	0			66.96808807004933																	15.035144551433588	02/12/2018 00:00:44						
02/12/2018 00:00:45 000	02/12/2018 00:00:45	000	0			66.96808807004933																	15.035144551433588	02/12/2018 00:00:45						
02/12/2018 00:00:46 001	02/12/2018 00:00:46	001	0			66.97562061602835																	12.95112255405354	02/12/2018 00:00:46						
02/12/2018 00:00:47 000	02/12/2018 00:00:47	000	1			66.97562061602835																	12.95112255405354	02/12/2018 00:00:46						
02/12/2018 00:00:48 000	02/12/2018 00:00:48	000	0			66.85856724279883																	21.253613763695213	02/12/2018 00:00:47						
02/12/2018 00:00:49 000	02/12/2018 00:00:49	000	0			66.859021586842																	16.993374898671977	02/12/2018 00:00:49						
